Java HotSpot(TM) 64-Bit Server VM (24.79-b02) for linux-amd64 JRE (1.7.0_79-b15), built on Apr 10 2015 11:34:48 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
57.913: [GC [PSYoungGen: 262752K->128K(311808K)] 626827K->364203K(1011200K), 0.0026970 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
57.983: [GC [PSYoungGen: 272000K->128K(309760K)] 636075K->364203K(1009152K), 0.0125060 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
58.086: [GC [PSYoungGen: 272000K->7872K(316416K)] 636075K->371947K(1015808K), 0.0063960 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
58.204: [GC [PSYoungGen: 288960K->25536K(306688K)] 653035K->389611K(1006080K), 0.0181750 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
58.314: [GC [PSYoungGen: 306624K->37856K(279040K)] 670699K->423883K(978432K), 0.0246340 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
58.416: [GC [PSYoungGen: 279008K->54240K(295424K)] 665035K->453979K(994816K), 0.0224380 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
58.531: [GC [PSYoungGen: 295392K->54240K(219648K)] 695131K->490531K(919040K), 0.0327420 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
58.625: [GC [PSYoungGen: 219616K->76928K(242688K)] 655907K->513235K(942080K), 0.0287010 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
58.712: [GC [PSYoungGen: 242304K->95936K(222208K)] 678611K->532267K(921600K), 0.0344720 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
58.786: [GC [PSYoungGen: 213184K->103424K(233472K)] 649515K->540011K(932864K), 0.0421170 secs] [Times: user=0.16 sys=0.00, real=0.04 secs] 
58.906: [GC [PSYoungGen: 220672K->99776K(233472K)] 657259K->551027K(932864K), 0.0504610 secs] [Times: user=0.19 sys=0.00, real=0.05 secs] 
58.989: [GC [PSYoungGen: 217024K->42144K(233472K)] 668275K->553667K(932864K), 0.0306940 secs] [Times: user=0.12 sys=0.00, real=0.04 secs] 
59.046: [GC [PSYoungGen: 159392K->17024K(233472K)] 670915K->557507K(932864K), 0.0216360 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
59.093: [GC [PSYoungGen: 134272K->3744K(233472K)] 674755K->557571K(932864K), 0.0155180 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
59.140: [GC [PSYoungGen: 120992K->64K(233472K)] 674819K->557619K(932864K), 0.0114590 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
59.187: [GC [PSYoungGen: 117312K->64K(233472K)] 674867K->557627K(932864K), 0.0215190 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
59.232: [GC [PSYoungGen: 117312K->96K(233472K)] 674875K->557667K(932864K), 0.0040610 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
59.263: [GC [PSYoungGen: 117344K->64K(233472K)] 674915K->557643K(932864K), 0.0039750 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
59.289: [GC [PSYoungGen: 117312K->64K(233472K)] 674891K->557651K(932864K), 0.0030870 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
59.320: [GC [PSYoungGen: 117312K->96K(233472K)] 674899K->557691K(932864K), 0.0032420 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
59.366: [GC [PSYoungGen: 117344K->224K(243712K)] 674939K->557827K(943104K), 0.0034950 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
59.401: [GC [PSYoungGen: 132832K->2752K(238592K)] 690435K->560483K(937984K), 0.0035660 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
59.436: [GC [PSYoungGen: 135360K->5728K(255488K)] 693091K->566027K(954880K), 0.0049540 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
59.478: [GC [PSYoungGen: 160864K->6880K(249344K)] 721163K->572611K(948736K), 0.0084510 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
59.526: [GC [PSYoungGen: 162016K->9088K(267776K)] 727747K->581131K(967168K), 0.0090440 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
59.652: [GC [PSYoungGen: 188800K->12704K(261632K)] 760843K->593835K(961024K), 0.0144360 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
59.735: [GC [PSYoungGen: 192416K->23840K(276480K)] 773547K->617611K(975872K), 0.0201070 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
59.819: [GC [PSYoungGen: 224544K->23744K(273920K)] 818315K->640883K(973312K), 0.0311150 secs] [Times: user=0.12 sys=0.00, real=0.04 secs] 
59.928: [GC [PSYoungGen: 224448K->27616K(280576K)] 841587K->668579K(979968K), 0.0329000 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
60.025: [GC [PSYoungGen: 238048K->29376K(279552K)] 879011K->698027K(978944K), 0.0241170 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
60.049: [Full GC [PSYoungGen: 29376K->0K(279552K)] [ParOldGen: 668651K->259294K(699392K)] 698027K->259294K(978944K) [PSPermGen: 44852K->44852K(92672K)], 0.2373990 secs] [Times: user=0.64 sys=0.00, real=0.24 secs] 
60.344: [GC [PSYoungGen: 210432K->27712K(283136K)] 469726K->287006K(982528K), 0.0149060 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
60.419: [GC [PSYoungGen: 242752K->30144K(281600K)] 502046K->317246K(980992K), 0.0303470 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
60.510: [GC [PSYoungGen: 245184K->31680K(284160K)] 532286K->349006K(983552K), 0.0293390 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
60.598: [GC [PSYoungGen: 250304K->23264K(284160K)] 567630K->372358K(983552K), 0.0263750 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
60.666: [GC [PSYoungGen: 241888K->8320K(289792K)] 590982K->380766K(989184K), 0.0176470 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
